cluster,gene,log2fc_cluster_vs_rest,pvalue,padj,mean_cluster,mean_rest
0,IL1R2,3.027290637993162,1.9264351509059943e-17,1.1428265044479142e-15,10.032484430003763,7.0051937920106
0,C3orf86,1.2936345823214523,4.518131548777082e-16,1.1686377567812999e-14,6.671515996342935,5.377881414021482
0,UPP1,1.1550799349308791,3.051993900358601e-15,5.1256303194191495e-14,7.0416901139152515,5.886610178984372
0,OLAH,3.4868818174663554,4.232651929866116e-15,6.58879133312318e-14,5.308358427483898,1.8214766100175428
0,GRB10,1.8627228921704249,6.218707591915541e-15,9.073910981260162e-14,4.360923748649633,2.4982008564792078
0,ROPN1L,0.8935107012976227,3.7083155183792977e-13,2.7757661168333175e-12,4.980870981642158,4.0873602803445355
0,GMFG,0.5668812050509704,6.85017332615812e-13,4.765483079099048e-12,11.837527609528435,11.270646404477464
0,LRG1,0.9909267925916998,2.4663440366308e-12,1.482292655886374e-11,7.1775138473904345,6.186587054798735
0,FLOT1,0.6387508500195604,1.1434694620540486e-11,5.8745066202208e-11,8.763649152854136,8.124898302834575
0,RSPH14,0.7286738153798462,1.913618050139804e-11,9.328692407958717e-11,1.2280014956582408,0.49932768027839464
0,CA4,1.3713978589632498,2.4793442128430284e-11,1.1872972045759146e-10,6.8500805505229545,5.478682691559705
0,PHC2,0.9665084012065606,2.5192242926008017e-11,1.2044624948551165e-10,8.972757790881522,8.006249389674961
0,TPST1,1.8921814234389673,3.0008477732509095e-11,1.4187989234038003e-10,5.9904366463295675,4.0982552228906
0,PLIN5,1.049191819514074,3.250946175743818e-11,1.5249520928233394e-10,4.049011190662411,2.9998193711483374
0,CEBPB,0.7324205368519934,6.360455032563859e-11,2.8173129943644673e-10,7.566315327455142,6.833894790603148
0,TMIGD3,1.7771885654429465,9.472708483861569e-11,4.0426834631913156e-10,3.7470575567732323,1.9698689913302858
0,IRS2,1.2273527763058572,1.1383178248030084e-10,4.784385528005312e-10,4.686665228783533,3.459312452477676
0,ADGRG3,0.8459436249727288,1.8092804006876264e-10,7.315652593353428e-10,7.897100124585767,7.051156499613038
0,ST6GALNAC3,1.0097322758080167,1.9529104354023067e-10,7.85644535483708e-10,2.5610295692084404,1.5512972934004237
0,ARMC12,1.1375993457182232,2.1487151431699628e-10,8.586219627063886e-10,2.2189720290234285,1.0813726833052053
0,ARRB2,0.48721712913169135,2.3188145590373956e-10,9.201179634596307e-10,9.79889707828984,9.31167994915815
0,PFKFB2,1.936169102568292,2.4903516174090784e-10,9.814790990219556e-10,4.7600831411170565,2.8239140385487644
0,S100A11,0.6317314811483268,2.638609874683261e-10,1.0346196693759684e-09,12.772792200495532,12.141060719347205
0,FLOT2,0.6176110981597152,3.169682812974774e-10,1.2243374752805703e-09,8.839981338880772,8.222370240721057
0,PGD,0.7372837036296858,3.303211435018714e-10,1.2713845432912573e-09,9.176247281235044,8.438963577605358
1,CD4,2.0890404640891154,7.897890697634973e-23,9.417444867859942e-19,6.303229363684466,4.21418889959535
1,TMEM109,1.2563498584081123,4.390984392923495e-22,2.6179048950609877e-18,4.874927815075015,3.6185779566669027
1,AARS2,0.8519222021911999,8.997513092749584e-22,3.576211537264869e-18,1.8448391542328597,0.9929169520416599
1,ST3GAL5,1.539856711329906,1.728691751429109e-21,5.153230111010174e-18,3.951603317777443,2.411746606447537
1,TP53,1.3299002633492503,2.4463043246381934e-21,5.833946553397164e-18,4.18902982193864,2.85912955858939
1,CHST14,0.8036832624198127,3.1514647752392333e-21,6.26301099665877e-18,2.3833690103714944,1.5796857479516817
1,DCP1B,1.1398700025423447,4.0296224060537955e-21,6.86417393854078e-18,2.8409630272182635,1.7010930246759188
1,PATZ1,1.1018017897773076,8.789481198343358e-21,1.3100721726130774e-17,3.167689931215725,2.0658881414384176
1,EID2,0.938740943682471,1.0174771175663542e-20,1.3480441277623564e-17,3.441872203992991,2.50313126031052
1,RSAD1,1.1301372279127904,1.9348048772852505e-20,2.3070613356749328e-17,4.091551549056349,2.9614143211435584
1,RFTN1,1.3589899495932198,3.3249933990208e-20,2.430238929541168e-17,4.07701201550083,2.71802206590761
1,GALT,1.184091521954799,2.5600313253068125e-20,2.430238929541168e-17,3.9322472149479704,2.7481556929931714
1,ZC3H7B,1.1203248597172257,3.6234466748196907e-20,2.430238929541168e-17,3.082704763265569,1.9623799035483434
1,FN3KRP,1.1140066722461066,3.246576999120854e-20,2.430238929541168e-17,3.56911472666441,2.4551080544183033
1,RMDN3,1.0890603614589716,3.205186511376567e-20,2.430238929541168e-17,3.2973730889059776,2.208312727447006
1,MORC2,1.0628239649532902,2.540638325569184e-20,2.430238929541168e-17,2.6980421861829775,1.6352182212296873
1,DNAJC19,0.925110641736683,3.6685928154764367e-20,2.430238929541168e-17,3.728012804997303,2.80290216326062
1,MKS1,0.8294796228658734,3.4451461556233423e-20,2.430238929541168e-17,1.869831317249177,1.0403516943833035
1,RALGDS,1.2685134613724873,3.9874174887074724e-20,2.5024192702814682e-17,3.863927811354638,2.5954143499821507
1,NUP93,1.003684337320419,4.525715498224336e-20,2.6982315800413495e-17,3.538322067796039,2.53463773047562
1,ACTR5,0.9358716436709897,4.9435631664666596e-20,2.7244225517626537e-17,2.6153297268609013,1.6794580831899115
1,CCDC115,0.8501413392038648,5.026609874100837e-20,2.7244225517626537e-17,4.9233123445533495,4.073171005349485
1,ILF3,1.2336023717533893,6.382849856573712e-20,3.309091377816737e-17,5.271373196572188,4.037770824818799
1,TIAM1,1.4570072741548419,8.220638058091188e-20,3.920915528187173e-17,2.7318371980229954,1.2748299238681535
1,NAT10,1.1525274618292842,7.993902754216234e-20,3.920915528187173e-17,3.193588430991477,2.0410609691621926
